Country,ISO3,Acronym,Bloc Full Name,Block_Code,Type,Start,End,,,,,,,,,,
Macau,MAC,CHINA_SYSTEM,China System,XCN,geopolitical,1999,max,,,,,,,,,,
Albania,ALB,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1961,,,,,,,,,,
Armenia,ARM,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Azerbaijan,AZE,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Belarus,BLR,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Bulgaria,BGR,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Czechia,CZE,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Estonia,EST,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Georgia,GEO,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Hungary,HUN,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Kazakhstan,KAZ,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Kyrgyzstan,KGZ,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Latvia,LVA,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Lithuania,LTU,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Moldova,MDA,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Mongolia,MNG,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1962,1991,,,,,,,,,,
Poland,POL,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Romania,ROU,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Russia,RUS,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Slovakia,SVK,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Tajikistan,TJK,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Turkmenistan,TKM,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Ukraine,UKR,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Uzbekistan,UZB,COMECON-EURASIAN,COMECON-EURASIAN,XCO,analytical,1949,1991,,,,,,,,,,
Armenia,ARM,EAEU,Eurasian Economic Union,XEA,institutional,2015,max,,,,,,,,,,
Belarus,BLR,EAEU,Eurasian Economic Union,XEA,institutional,2015,max,,,,,,,,,,
Kazakhstan,KAZ,EAEU,Eurasian Economic Union,XEA,institutional,2015,max,,,,,,,,,,
Kyrgyzstan,KGZ,EAEU,Eurasian Economic Union,XEA,institutional,2015,max,,,,,,,,,,
Russia,RUS,EAEU,Eurasian Economic Union,XEA,institutional,2015,max,,,,,,,,,,
Austria,AUT,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1995,max,,,,,,,,,,
Belgium,BEL,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1958,max,,,,,,,,,,
Bulgaria,BGR,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2007,max,,,,,,,,,,
Croatia,HRV,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2013,max,,,,,,,,,,
Cyprus,CYP,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Czechia,CZE,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Denmark,DNK,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1973,max,,,,,,,,,,
Estonia,EST,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Finland,FIN,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1995,max,,,,,,,,,,
France,FRA,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1958,max,,,,,,,,,,
Germany,DEU,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1958,max,,,,,,,,,,
Greece,GRC,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1981,max,,,,,,,,,,
Hungary,HUN,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Iceland,ISL,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1994,max,,,,,,,,,,
Ireland,IRL,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1973,max,,,,,,,,,,
Italy,ITA,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1958,max,,,,,,,,,,
Latvia,LVA,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Liechtenstein,LIE,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1995,max,,,,,,,,,,
Lithuania,LTU,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Luxembourg,LUX,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1958,max,,,,,,,,,,
Malta,MLT,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Netherlands,NLD,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1958,max,,,,,,,,,,
Norway,NOR,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1994,max,,,,,,,,,,
Poland,POL,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Portugal,PRT,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1986,max,,,,,,,,,,
Romania,ROU,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2007,max,,,,,,,,,,
Slovakia,SVK,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Slovenia,SVN,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,2004,max,,,,,,,,,,
Spain,ESP,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1986,max,,,,,,,,,,
Sweden,SWE,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1995,max,,,,,,,,,,
United Kingdom,GBR,EU-28+EEA,European Single Market Area Proxy,XEU,analytical,1973,2020,,,,,,,,,,
Bahrain,BHR,GCC,Gulf Cooperation Council,XGC,institutional,1981,max,,,,,,,,,,
Kuwait,KWT,GCC,Gulf Cooperation Council,XGC,institutional,1981,max,,,,,,,,,,
Oman,OMN,GCC,Gulf Cooperation Council,XGC,institutional,1981,max,,,,,,,,,,
Qatar,QAT,GCC,Gulf Cooperation Council,XGC,institutional,1981,max,,,,,,,,,,
